waypoint,lat,lon
ALRAN,100000S,0562224E
AMBAN,100000S,0553854E
AMBOD,172242S,0553000E
APKUD,062201S,0631032E
APMER,061842S,0624147E
APNAB,065834S,0685322E
APRAD,202754S,0572718E
ATLOP,212809S,0600532E
AXUMO,201318S,0573106E
BIGAR,202055S,0573052E
BOBOD,060000S,0694106E
BUMMR,060000S,0715500E
DUGMA,065447S,0681754E
DUNBU,120038S,0700000E
DUNRI,175835S,0570601E
DUPNA,195225S,0572959E
DURDA,180523S,0563520E
EGPOT,070217S,0693149E
EKBAL,202530S,0571530E
EPMOL,303150S,0650000E
EPNES,202700S,0574330E
EPNUK,202831S,0574637E
EPSIT,194825S,0630037E
EPSUP,203812S,0572500E
EPTEK,202405S,0560719E
ERBAB,202730S,0574430E
ERBOX,203637S,0574656E
ESTEK,203109S,0575207E
ETGEG,153109S,0700000E
ETGOR,205600S,0570442E
ETKIS,201642S,0563554E
ETLEL,120648S,0560222E
ETLID,135119S,0592633E
ETLUM,150000S,0624820E
ETUGA,093733S,0700000E
EVANA,203318S,0574230S
EVIXO,202530S,0571930E
EVOTU,203748S,0574824E
EXIPU,192834S,0600637E
FFLAC,201653S,0571218E
GABKI,200036S,0573604E
GENOV,203054S,0572830E
GEPUG,150104S,0564929E
GERUS,201948S,0572830E
GESOD,100000S,0613851E
GEVEV,203200S,0575400E
GEXAB,105858S,0653408E
GEXIN,094317S,0730337E
GUDUG,070436S,0750000E
GUGON,323012S,0750000E
IBKAN,153533S,0650000E
IBKEM,100000S,0610622E
IBLOG,150000S,0612632E
IBMAT,281906S,0570000E
IBNAV,102523S,0664300E
IBSEB,183936S,0730338E
IBSIS,204636S,0565724E
IBSON,151409S,0561922E
IBSUR,100200S,0702700E
IMDOS,240409S,0724000E
IMKOV,201157S,0571641E
IMPAN,201148S,0601715E
IMRUL,205712S,0601526E
IMSEV,195406S,0650000E
IXADU,223650S,0650000E
KADEM,174854S,0750000E
KALBI,085218S,0750000E
KARAT,172819S,0553359E
LATEP,061018S,0750000E
MODOT,150000S,0553538E
MOMMA,060000S,0722100E
MP141,202120S,0572247E
MP142,201634S,0572338E
MP143,201224S,0573230E
MP144,200245S,0573741E
MP146,195739S,0574209E
MP148,192333S,0581158E
MP154,203138S,0570641E
MP156,203944S,0565501E
MP158,202530S,0565954E
MP160,201012S,0573622E
MP161,203218S,0572536E
MP163,201923S,0574700E
MP165,201202S,0564427E
MP167,203222S,0574255E
MP171,203332S,0573139E
MP173,202224S,0575316E
MP174,193320S,0571334E
MP176,191809S,0571221E
MP185,184718S,0573404E
MP187,200958S,0581052E
MP191,204024S,0575651E
MP191,204024S,0575651E
MP202,203420S,0581803E
MP203,201756S,0575143E
MP204,200219S,0574237E
MP205,204557S,0584058E
MP211,203842S,0573200E
MP212,203706S,0572419E
MP214,203132S,0571550E
MP221,205528S,0564116E
MP224,202829S,0571113E
MP234,202029S,0570159E
MP244,201701S,0565800E
MP500,202426S,0575545E
MP501,203536S,0574938E
MP503,201936S,0575822E
MP530,202519S,0574000E
MP531,202941S,0573711E
MP551,202141S,0572027E
MP602,202631S,0573032E
MP604,203307S,0573247E
MP605,202258S,0574714E
MP606,201754S,0574744E
MP614,203514S,0573709E
MP624,204002S,0574709E
MP626,200814S,0582442E
MP634,204035S,0580328E
MP635,202552S,0580414E
MP645,203810S,0582931E
MP700,202059S,0600057E
MP702,201237S,0600032E
MP706,202911S,0594618E
MP888,201540S,0572653E
MP889,201932S,0572800E
MURUS,060000S,0631942E
NEPUG,123832S,0700000E
NEXAV,173611S,0650000E
NIBED,145519S,0650000E
NIBIS,190206S,0553254E
NIDIT,150000S,0620655E
NKW,071900S,0722442E
OKBOG,182000S,0590651E
OKDEP,160407S,0700000E
OKMAR,181206S,0560437E
OKMIN,201805S,0580641E
OKNEP,230440S,0700000E
OKROS,202718S,0601849E
OKSIT,203324S,0573024E
OKTAL,203412S,0572154E
OSKAR,202324S,0574919E
PASAR,210106S,0562400E
PEDPI,131636S,0750000E
RASMA,201200S,0560200E
SOBAT,204306S,0561554E
TEVOD,183854S,0593124E
TIBAG,182906S,0553317E
TIDUM,175509S,0573718E
TIKOL,180604S,0583854E
UNPUG,175741S,0580840E
UTROD,195721S,0601549E
UVARI,190204S,0595135E
XAGUN,141500S,0650000E
XAKUV,153309S,0553516E
XEKOT,325812S,0570000E
XORUG,180852S,0650000E
